IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
43.224.33.225,8443,True,NRT,JP,Saitama,,,AS20473
45.32.17.67,443,True,NRT,JP,Saitama,,,AS20473
45.32.22.38,443,True,NRT,JP,Saitama,,,AS20473
45.32.22.205,443,True,NRT,JP,Saitama,,,AS20473
45.32.26.243,443,True,NRT,JP,Saitama,,,AS20473
45.32.28.109,443,True,NRT,JP,Saitama,,,AS20473
45.32.31.218,443,True,NRT,JP,Saitama,,,AS20473
45.32.34.220,443,True,NRT,JP,Saitama,,,AS20473
45.32.35.100,443,True,NRT,JP,Saitama,,,AS20473
45.32.38.133,443,True,NRT,JP,Saitama,,,AS20473
45.32.39.53,8443,True,NRT,JP,Saitama,,,AS20473
45.32.44.126,443,True,NRT,JP,Saitama,,,AS20473
45.32.44.220,443,True,NRT,JP,Saitama,,,AS20473
45.32.49.254,443,True,NRT,JP,Saitama,,,AS20473
45.32.52.204,443,True,NRT,JP,Saitama,,,AS20473
45.32.54.94,443,True,NRT,JP,Saitama,,,AS20473
45.32.56.242,443,True,NRT,JP,Saitama,,,AS20473
45.32.57.54,8443,True,NRT,JP,Saitama,,,AS20473
45.32.64.108,443,True,LAX,US,California,,,AS20473
45.32.64.247,443,True,LAX,US,California,,,AS20473
45.32.64.247,8443,True,LAX,US,California,,,AS20473
45.32.67.85,443,True,LAX,US,California,,,AS20473
45.32.68.158,8443,True,LAX,US,California,,,AS20473
45.32.70.135,443,True,LAX,US,California,,,AS20473
45.32.73.12,443,True,LAX,US,California,,,AS20473
45.32.74.126,443,True,LAX,US,California,,,AS20473
45.32.79.105,443,True,LAX,US,California,,,AS20473
45.32.79.120,443,True,LAX,US,California,,,AS20473
45.32.82.20,443,True,LAX,US,California,,,AS20473
45.32.86.206,443,True,LAX,US,California,,,AS20473
45.32.86.206,8443,True,LAX,US,California,,,AS20473
45.32.91.80,8443,True,LAX,US,California,,,AS20473
45.32.93.88,443,True,LAX,US,California,,,AS20473
45.32.94.217,443,True,LAX,US,California,,,AS20473
45.32.95.68,443,True,LAX,US,California,,,AS20473
45.32.100.162,443,True,SIN,SG,,,,AS20473
45.32.108.68,8443,True,SIN,SG,,,,AS20473
45.32.110.53,443,True,SIN,SG,,,,AS20473
45.32.121.27,443,True,SIN,SG,,,,AS20473
45.32.123.57,443,True,SIN,SG,,,,AS20473
45.32.123.157,443,True,SIN,SG,,,,AS20473
45.32.123.157,8443,True,SIN,SG,,,,AS20473
45.32.124.17,443,True,SIN,SG,,,,AS20473
45.32.129.33,443,True,SJC,US,California,,,AS20473
45.32.136.112,443,True,SJC,US,California,,,AS20473
45.32.150.117,443,True,CDG,FR,Île-de-France,,,AS20473
45.32.157.123,443,True,FRA,DE,Hesse,,,AS20473
45.32.159.84,443,True,FRA,DE,Hesse,,,AS20473
45.32.180.58,443,True,LHR,GB,England,,,AS20473
45.32.187.30,443,True,AMS,NL,North Holland,,,AS20473
45.32.191.198,443,True,SYD,AU,New South Wales,,,AS20473
45.32.201.241,8443,True,DFW,US,Texas,,,AS20473
45.32.226.188,443,True,SEA,US,Washington,,,AS20473
45.32.228.16,443,True,SEA,US,Washington,,,AS20473
45.32.230.128,443,True,SEA,US,Washington,,,AS20473
45.32.233.225,443,True,AMS,NL,North Holland,,,AS20473
45.32.234.205,443,True,AMS,NL,North Holland,,,AS20473
45.32.241.82,443,True,SYD,AU,New South Wales,,,AS20473
45.32.243.13,443,True,SYD,AU,New South Wales,,,AS20473
45.32.248.233,443,True,NRT,JP,Saitama,,,AS20473
45.32.250.130,443,True,NRT,JP,Saitama,,,AS20473
45.63.0.135,443,True,EWR,US,New Jersey,,,AS20473
45.63.6.185,443,True,EWR,US,New Jersey,,,AS20473
45.63.15.72,443,True,EWR,US,New Jersey,,,AS20473
45.63.16.158,8443,True,EWR,US,New Jersey,,,AS13335
45.63.21.52,443,True,EWR,US,New Jersey,,,AS20473
45.63.35.27,8443,True,SEA,US,Washington,,,AS20473
45.63.42.92,443,True,AMS,NL,North Holland,,,AS20473
45.63.49.61,443,True,LAX,US,California,,,AS20473
45.63.49.182,443,True,LAX,US,California,,,AS20473
45.63.50.134,443,True,LAX,US,California,,,AS20473
45.63.51.177,8443,True,LAX,US,California,,,AS20473
45.63.53.36,443,True,LAX,US,California,,,AS20473
45.63.54.49,443,True,LAX,US,California,,,AS20473
45.63.54.67,443,True,LAX,US,California,,,AS20473
45.63.56.229,443,True,LAX,US,California,,,AS20473
45.63.61.43,443,True,LAX,US,California,,,AS20473
45.63.62.4,443,True,LAX,US,California,,,AS20473
45.63.64.159,443,True,ORD,US,Illinois,,,AS20473
45.63.67.144,443,True,ORD,US,Illinois,,,AS20473
45.63.82.124,443,True,SJC,US,California,,,AS20473
45.63.82.161,443,True,SJC,US,California,,,AS20473
45.63.85.97,8443,True,SJC,US,California,,,AS20473
45.63.89.124,443,True,SJC,US,California,,,AS20473
45.63.90.209,443,True,SJC,US,California,,,AS20473
45.63.92.165,8443,True,SJC,US,California,,,AS20473
45.63.94.127,8443,True,SJC,US,California,,,AS20473
45.63.99.89,443,True,LHR,GB,England,,,AS20473
45.63.105.18,443,True,MIA,US,Florida,,,AS20473
45.63.114.83,443,True,CDG,FR,Île-de-France,,,AS20473
45.63.116.101,8443,True,FRA,DE,Hesse,,,AS20473
45.63.116.178,443,True,FRA,DE,Hesse,,,AS20473
45.63.124.130,443,True,NRT,JP,Saitama,,,AS20473
45.63.124.153,8443,True,NRT,JP,Saitama,,,AS20473
45.76.3.36,443,True,EWR,US,New Jersey,,,AS20473
45.76.16.160,443,True,ORD,US,Illinois,,,AS20473
45.76.37.55,443,True,AMS,NL,North Holland,,,AS20473
45.76.38.19,443,True,AMS,NL,North Holland,,,AS20473
45.76.49.112,8443,True,NRT,JP,Saitama,,,AS20473
45.76.51.193,443,True,NRT,JP,Saitama,,,AS20473
45.76.52.54,443,True,NRT,JP,Saitama,,,AS20473
45.76.54.46,8443,True,NRT,JP,Saitama,,,AS20473
45.76.54.195,443,True,NRT,JP,Saitama,,,AS20473
45.76.55.197,443,True,NRT,JP,Saitama,,,AS20473
45.76.64.73,443,True,LAX,US,California,,,AS20473
45.76.68.133,443,True,LAX,US,California,,,AS20473
45.76.74.16,443,True,LAX,US,California,,,AS20473
45.76.74.244,443,True,LAX,US,California,,,AS20473
45.76.76.222,443,True,LAX,US,California,,,AS20473
45.76.76.222,8443,True,LAX,US,California,,,AS20473
45.76.78.111,443,True,LAX,US,California,,,AS20473
45.76.79.239,443,True,LAX,US,California,,,AS20473
45.76.79.246,443,True,LAX,US,California,,,AS20473
45.76.84.44,443,True,FRA,DE,Hesse,,,AS20473
45.76.85.186,443,True,FRA,DE,Hesse,,,AS20473
45.76.90.49,8443,True,FRA,DE,Hesse,,,AS20473
45.76.94.43,443,True,FRA,DE,Hesse,,,AS20473
45.76.96.77,8443,True,NRT,JP,Saitama,,,AS20473
45.76.97.162,443,True,NRT,JP,Saitama,,,AS20473
45.76.100.75,443,True,NRT,JP,Saitama,,,AS20473
45.76.100.75,8443,True,NRT,JP,Saitama,,,AS20473
45.76.145.226,443,True,SIN,SG,,,,AS20473
45.76.149.231,443,True,SIN,SG,,,,AS20473
45.76.149.231,8443,True,SIN,SG,,,,AS20473
45.76.158.46,443,True,SIN,SG,,,,AS20473
45.76.158.201,8443,True,SIN,SG,,,,AS20473
45.76.161.137,8443,True,SIN,SG,,,,AS20473
45.76.168.87,443,True,LAX,US,California,,,AS20473
45.76.168.163,443,True,LAX,US,California,,,AS20473
45.76.169.250,443,True,LAX,US,California,,,AS20473
45.76.171.135,443,True,LAX,US,California,,,AS20473
45.76.171.244,443,True,LAX,US,California,,,AS20473
45.76.172.125,443,True,LAX,US,California,,,AS20473
45.76.176.85,443,True,SIN,SG,,,,AS20473
45.76.178.112,443,True,SIN,SG,,,,AS20473
45.76.180.3,443,True,SIN,SG,,,,AS20473
45.76.183.77,443,True,SIN,SG,,,,AS20473
45.76.187.126,443,True,SIN,SG,,,,AS20473
45.76.189.166,443,True,SIN,SG,,,,AS20473
45.76.198.248,443,True,NRT,JP,Saitama,,,AS20473
45.76.205.197,443,True,NRT,JP,Saitama,,,AS20473
45.76.206.46,443,True,NRT,JP,Saitama,,,AS20473
45.76.207.88,443,True,NRT,JP,Saitama,,,AS20473
45.76.208.253,443,True,NRT,JP,Saitama,,,AS20473
45.76.212.63,443,True,NRT,JP,Saitama,,,AS20473
