IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
78.105.183.2,443,TRUE,TPE,TW,Taiwan,,,AS142433
78.105.183.11,8443,TRUE,TPE,TW,Taiwan,,,AS142433
78.105.183.40,443,TRUE,TPE,TW,Taiwan,,,AS142433
82.22.31.14,443,TRUE,SIN,SG,,,,AS142433
82.22.31.70,443,TRUE,HKG,HK,,,,AS142433
82.22.31.70,8443,TRUE,HKG,HK,,,,AS142433
82.22.31.116,443,TRUE,HKG,HK,,,,AS142433
82.22.31.122,443,TRUE,HKG,HK,,,,AS142433
82.108.198.121,443,TRUE,NRT,JP,Tokyo,,,AS142433
82.108.198.175,443,TRUE,NRT,JP,Tokyo,,,AS142433
82.109.96.42,443,TRUE,SIN,SG,,,,AS142433
82.109.96.42,8443,TRUE,SIN,SG,,,,AS142433
82.109.96.73,443,TRUE,SIN,SG,,,,AS142433
82.109.96.167,443,TRUE,SIN,SG,,,,AS142433
82.109.96.171,8443,TRUE,SIN,SG,,,,AS142433
82.109.96.189,443,TRUE,SIN,SG,,,,AS142433
82.109.96.205,443,TRUE,SIN,SG,,,,AS142433
82.110.234.12,443,TRUE,NRT,JP,Tokyo,,,AS142433
82.110.234.58,443,TRUE,NRT,JP,Tokyo,,,AS142433
