IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
23.236.67.84,443,TRUE,LAX,US,California,,,AS967
38.55.104.108,443,TRUE,HKG,HK,Kowloon City,,,AS967
38.55.104.109,443,TRUE,HKG,HK,Kowloon City,,,AS967
38.55.105.44,443,TRUE,SEA,HK,Kowloon City,,,AS967
38.55.106.154,443,TRUE,HKG,HK,Kowloon City,,,AS967
38.55.106.195,443,TRUE,HKG,HK,Kowloon City,,,AS932
38.55.106.240,443,TRUE,HKG,HK,Kowloon City,,,AS932
38.55.107.91,443,TRUE,HKG,HK,Kowloon City,,,AS967
38.55.107.107,443,TRUE,HKG,HK,Kowloon City,,,AS932
38.55.107.158,443,TRUE,HKG,HK,Kowloon City,,,AS967
38.55.107.239,443,TRUE,HKG,HK,Kowloon City,,,AS932
38.95.77.93,443,TRUE,LAX,US,California,,,AS967
38.147.161.162,443,TRUE,PDX,US,California,,,AS967
38.207.160.40,443,TRUE,HKG,HK,,,,AS967
38.207.161.78,443,TRUE,HKG,HK,,,,AS967
38.207.161.78,8443,TRUE,HKG,HK,,,,AS967
38.207.161.223,443,TRUE,HKG,HK,,,,AS967
38.207.164.196,443,TRUE,HKG,HK,,,,AS967
38.207.165.65,443,TRUE,HKG,HK,,,,AS967
38.207.172.3,2053,TRUE,HKG,HK,,,,AS967
38.207.172.220,443,TRUE,HKG,HK,,,,AS967
38.207.172.221,8443,TRUE,HKG,HK,,,,AS967
38.207.174.111,443,TRUE,HKG,HK,,,,AS967
38.207.174.116,443,TRUE,HKG,HK,,,,AS967
38.207.174.151,443,TRUE,HKG,HK,,,,AS967
38.207.175.9,443,TRUE,HKG,HK,,,,AS967
38.207.184.181,443,TRUE,HKG,HK,,,,AS967
38.207.184.211,443,TRUE,HKG,HK,,,,AS967
38.207.185.224,443,TRUE,HKG,HK,,,,AS967
45.221.113.25,443,TRUE,HKG,HK,,,,AS967
45.221.113.40,443,TRUE,HKG,HK,,,,AS967
45.221.113.57,443,TRUE,HKG,HK,,,,AS967
45.221.113.58,8443,TRUE,HKG,HK,,,,AS967
45.221.113.70,443,TRUE,HKG,HK,,,,AS967
45.221.115.3,443,TRUE,HKG,HK,,,,AS967
45.221.115.25,8443,TRUE,HKG,HK,,,,AS967
45.221.115.152,443,TRUE,HKG,HK,,,,AS967
45.221.115.152,8443,TRUE,HKG,HK,,,,AS967
45.221.115.170,443,TRUE,HKG,HK,,,,AS967
91.213.174.82,443,TRUE,HKG,HK,,,,AS967
91.213.174.177,443,TRUE,HKG,HK,,,,AS967
91.213.174.240,443,TRUE,HKG,HK,,,,AS967
91.213.186.64,443,TRUE,HKG,HK,,,,AS967
91.213.186.108,443,TRUE,HKG,HK,,,,AS967
91.213.186.115,443,TRUE,HKG,HK,,,,AS967
91.213.186.142,443,TRUE,HKG,HK,,,,AS967
91.213.186.148,443,TRUE,HKG,HK,,,,AS967
91.213.186.189,443,TRUE,HKG,HK,,,,AS967
91.213.189.4,2087,TRUE,HKG,HK,,,,AS967
91.213.189.96,8443,TRUE,HKG,HK,,,,AS967
91.213.189.132,443,TRUE,HKG,HK,,,,AS967
91.216.169.10,443,TRUE,LAX,US,California,,,AS967
91.216.169.78,443,TRUE,LAX,US,California,,,AS967
103.247.28.9,2053,TRUE,HKG,HK,,,,AS967
103.247.28.26,443,TRUE,HKG,HK,,,,AS967
167.88.177.211,443,TRUE,LAX,US,California,,,AS967
167.88.177.244,443,TRUE,LAX,US,California,,,AS967
167.88.180.55,443,TRUE,LAX,US,California,,,AS967
167.88.180.79,443,TRUE,LAX,US,California,,,AS967
186.241.104.85,443,TRUE,LAX,US,California,,,AS967
186.241.104.108,443,TRUE,LAX,US,California,,,AS967
186.241.104.249,443,TRUE,LAX,US,California,,,AS967
186.241.105.72,443,TRUE,LAX,US,California,,,AS967
186.241.105.228,443,TRUE,LAX,US,California,,,AS967
186.241.106.8,443,TRUE,LAX,US,California,,,AS967
186.241.106.11,443,TRUE,LAX,US,California,,,AS967
186.241.106.18,8443,TRUE,LAX,US,California,,,AS967
186.241.106.130,443,TRUE,LAX,US,California,,,AS967
186.241.106.172,443,TRUE,LAX,US,California,,,AS967
209.146.114.46,443,TRUE,LAX,US,California,,,AS967
209.146.115.31,8443,TRUE,LAX,US,California,,,AS967
