IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
151.242.183.104,443,TRUE,HKG,HK,,,,AS137897
154.203.0.174,443,TRUE,HKG,HK,,,,AS137897
154.203.0.193,443,TRUE,SIN,HK,,,,AS137897
154.203.0.194,443,TRUE,SIN,HK,,,,AS137897
154.203.0.195,443,TRUE,SIN,HK,,,,AS137897
154.203.0.233,443,TRUE,SIN,HK,,,,AS137897
154.203.0.234,443,TRUE,SIN,HK,,,,AS137897
154.203.0.235,443,TRUE,SIN,HK,,,,AS137897
154.203.0.235,8443,TRUE,SIN,HK,,,,AS137897
154.203.0.238,443,TRUE,SIN,HK,,,,AS137897
175.29.23.34,443,TRUE,HKG,HK,,,,AS137897
175.29.23.87,443,TRUE,HKG,HK,,,,AS137897
175.29.23.114,443,TRUE,HKG,HK,,,,AS137897
175.29.23.138,443,TRUE,HKG,HK,,,,AS137897
175.29.23.179,443,TRUE,HKG,HK,,,,AS137897
202.85.53.11,443,TRUE,SIN,HK,,,,AS137897
202.85.53.160,443,TRUE,SIN,HK,,,,AS137897
202.85.76.67,443,TRUE,HKG,HK,,,,AS137897
202.85.76.73,443,TRUE,SIN,HK,,,,AS137897
202.85.76.74,443,TRUE,SIN,HK,,,,AS137897
202.85.76.75,443,TRUE,SIN,HK,,,,AS137897
202.85.76.76,443,TRUE,SIN,HK,,,,AS137897
216.38.170.97,443,TRUE,HKG,HK,,,,AS137897
216.38.170.102,443,TRUE,SIN,HK,,,,AS137897
216.38.170.103,443,TRUE,SIN,HK,,,,AS137897
216.38.170.104,443,TRUE,SIN,HK,,,,AS137897
216.38.170.176,443,TRUE,SIN,HK,,,,AS137897
216.38.170.177,443,TRUE,SIN,HK,,,,AS137897
216.38.170.178,443,TRUE,SIN,HK,,,,AS137897
