IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
45.139.193.156,443,TRUE,SJC,US,California,,,AS6233
45.143.128.112,443,TRUE,SJC,US,California,,,AS6233
45.143.129.14,443,TRUE,SJC,US,California,,,AS6233
45.143.129.20,443,TRUE,SJC,US,California,,,AS6233
45.143.129.146,443,TRUE,SJC,US,California,,,AS6233
45.143.129.188,443,TRUE,SJC,US,California,,,AS6233
45.143.129.241,443,TRUE,DEN,US,California,,,AS6233
45.143.130.23,2053,TRUE,SJC,US,California,,,AS6233
45.143.130.23,8443,TRUE,SJC,US,California,,,AS6233
45.143.130.165,443,TRUE,SJC,US,California,,,AS6233
45.143.130.215,443,TRUE,SJC,US,California,,,AS6233
45.143.130.216,443,TRUE,SJC,US,California,,,AS6233
45.143.130.241,443,FALSE,,,,,,
62.3.15.66,443,TRUE,SJC,US,California,,,AS6233
62.3.15.223,443,TRUE,SJC,US,California,,,AS6233
80.66.196.13,443,TRUE,SJC,US,California,,,AS6233
80.66.196.203,443,TRUE,SJC,US,California,,,AS6233
80.66.196.203,8443,TRUE,SJC,US,California,,,AS6233
80.66.196.232,443,TRUE,SJC,US,California,,,AS6233
94.124.119.6,443,TRUE,SJC,US,California,,,AS6233
94.124.119.96,443,TRUE,SJC,US,California,,,AS6233
94.124.119.123,443,TRUE,SJC,US,California,,,AS6233
104.245.13.11,443,TRUE,SJC,US,California,,,AS6233
104.245.13.12,443,TRUE,SJC,US,California,,,AS6233
104.245.13.46,443,TRUE,SJC,US,California,,,AS6233
104.245.13.47,443,TRUE,SJC,US,California,,,AS6233
104.245.13.88,443,TRUE,SJC,US,California,,,AS6233
104.245.13.89,443,TRUE,SJC,US,California,,,AS6233
104.245.13.99,443,TRUE,SJC,US,California,,,AS6233
104.245.13.140,443,TRUE,SJC,US,California,,,AS6233
104.245.13.161,443,TRUE,SJC,US,California,,,AS6233
104.245.13.225,443,TRUE,SJC,US,California,,,AS6233
104.245.13.227,443,TRUE,SJC,US,California,,,AS6233
104.245.13.247,443,TRUE,SJC,US,California,,,AS6233
108.186.158.27,443,TRUE,SJC,US,California,,,AS6233
108.186.158.34,8443,TRUE,SJC,US,California,,,AS6233
193.163.19.232,443,TRUE,SJC,US,California,,,AS6233
193.163.19.252,443,TRUE,SJC,US,California,,,AS6233
194.36.24.140,443,TRUE,SJC,US,California,,,AS6233
