IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
38.55.192.16,443,TRUE,HKG,HK,,,,AS139659
38.55.192.41,443,TRUE,HKG,HK,,,,AS139659
38.55.192.142,443,TRUE,HKG,HK,,,,AS139659
38.55.192.165,443,TRUE,HKG,HK,,,,AS139659
38.55.192.169,443,TRUE,HKG,HK,,,,AS139659
38.55.192.202,443,TRUE,HKG,HK,,,,AS139659
38.55.192.225,443,TRUE,HKG,HK,,,,AS139659
38.55.193.251,443,TRUE,HKG,HK,,,,AS139659
38.55.194.187,443,TRUE,HKG,HK,,,,AS139659
38.55.195.57,443,TRUE,HKG,HK,,,,AS139659
38.55.195.57,8443,TRUE,HKG,HK,,,,AS139659
38.55.198.124,2053,TRUE,HKG,HK,,,,AS139659
38.55.198.199,443,FALSE,,,,,,
38.55.198.210,443,TRUE,HKG,HK,,,,AS139659
38.55.198.250,443,TRUE,HKG,HK,,,,AS139659
38.55.199.29,443,TRUE,HKG,HK,,,,AS139659
38.55.199.86,443,TRUE,HKG,HK,,,,AS139659
38.55.199.88,443,TRUE,HKG,HK,,,,AS139659
38.55.199.128,443,TRUE,HKG,HK,,,,AS139659
38.55.199.222,443,TRUE,HKG,HK,,,,AS139659
38.147.171.13,443,TRUE,HKG,HK,,,,AS139659
38.147.171.110,443,TRUE,HKG,HK,,,,AS139659
38.147.172.53,443,TRUE,HKG,HK,,,,AS139659
38.147.172.176,443,TRUE,HKG,HK,,,,AS139659
38.147.173.136,443,TRUE,HKG,HK,,,,AS139659
38.147.173.236,443,TRUE,HKG,HK,,,,AS139659
38.207.176.48,443,TRUE,HKG,HK,,,,AS139659
38.207.176.130,443,TRUE,HKG,HK,,,,AS139659
38.207.177.113,443,TRUE,HKG,HK,,,,AS139659
38.207.177.125,8443,TRUE,HKG,HK,,,,AS139659
38.207.177.204,443,TRUE,HKG,HK,,,,AS139659
38.207.177.236,443,TRUE,HKG,HK,,,,AS139659
38.207.178.173,2087,TRUE,HKG,HK,,,,AS139659
38.207.179.77,443,TRUE,HKG,HK,,,,AS139659
45.136.12.21,443,TRUE,HKG,HK,,,,AS139659
45.136.13.36,443,TRUE,HKG,HK,,,,AS139659
45.136.14.61,2053,TRUE,HKG,HK,,,,AS139659
45.136.14.153,443,TRUE,HKG,HK,,,,AS139659
45.144.136.62,443,TRUE,HKG,HK,,,,AS139659
45.144.136.62,8443,TRUE,HKG,HK,,,,AS139659
45.144.136.136,443,TRUE,HKG,HK,,,,AS139659
45.144.136.178,443,TRUE,HKG,HK,,,,AS139659
45.145.228.222,443,TRUE,HKG,HK,,,,AS139659
45.145.229.223,443,TRUE,HKG,HK,,,,AS139659
