IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
5.45.100.123,443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.100.191,443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.102.29,8443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.103.67,443,TRUE,FRA,DE,Bavaria,,,AS197540
5.45.107.30,443,TRUE,FRA,DE,Bavaria,,,AS197540
5.45.107.150,8443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.107.195,443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.108.138,8443,TRUE,HAM,DE,Bavaria,,,AS197540
5.45.110.82,8443,TRUE,FRA,DE,Bavaria,,,AS197540
5.45.111.195,443,TRUE,HAM,DE,Bavaria,,,AS197540
5.252.226.215,443,TRUE,FRA,DE,Bavaria,,,AS197540
5.252.226.232,443,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.168.235,2053,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.169.217,443,TRUE,FRA,DE,Bavaria,,,AS197540
37.120.169.237,443,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.169.237,2053,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.171.102,8443,TRUE,FRA,DE,Bavaria,,,AS197540
37.120.177.11,443,TRUE,FRA,DE,Bavaria,,,AS197540
37.120.177.232,443,FALSE,,,,,,
37.120.179.70,443,TRUE,FRA,DE,Bavaria,,,AS197540
37.120.186.205,2083,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.186.205,2087,TRUE,FRA,DE,Bavaria,,,AS197540
37.120.190.137,443,TRUE,HAM,DE,Bavaria,,,AS197540
37.120.190.247,443,TRUE,HAM,DE,Bavaria,,,AS197540
37.221.192.57,443,FALSE,,,,,,
37.221.195.86,443,TRUE,HAM,DE,Bavaria,,,AS197540
37.221.198.9,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.9.60.48,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.9.63.164,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.83.106.18,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.90.5.55,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.129.182.92,443,TRUE,HAM,DE,Bavaria,,,AS197540
45.129.183.95,8443,TRUE,FRA,DE,Bavaria,,,AS197540
45.132.244.120,8443,TRUE,FRA,DE,Bavaria,,,AS197540
45.136.29.99,443,TRUE,FRA,DE,Bavaria,,,AS197540
45.136.29.191,443,TRUE,HAM,DE,Bavaria,,,AS197540
45.142.178.163,443,TRUE,HAM,DE,Bavaria,,,AS197540
45.142.179.165,8443,TRUE,HAM,DE,Bavaria,,,AS197540
46.38.232.111,443,TRUE,HAM,DE,Bavaria,,,AS197540
46.38.235.18,443,TRUE,HAM,DE,Bavaria,,,AS197540
46.38.236.115,443,TRUE,HAM,DE,Bavaria,,,AS197540
46.38.236.115,2053,TRUE,FRA,DE,Bavaria,,,AS197540
46.38.236.115,8443,TRUE,FRA,DE,Bavaria,,,AS197540
46.38.237.179,443,FALSE,,,,,,
46.38.241.239,443,TRUE,FRA,DE,Bavaria,,,AS197540
46.38.250.211,443,FALSE,,,,,,
46.232.249.160,443,TRUE,FRA,DE,Bavaria,,,AS197540
46.232.249.203,443,TRUE,FRA,DE,Bavaria,,,AS197540
81.16.19.81,443,TRUE,FRA,DE,Bavaria,,,AS197540
85.209.50.209,443,FALSE,,,,,,
85.235.64.69,443,TRUE,FRA,DE,Bavaria,,,AS197540
85.235.65.152,443,TRUE,FRA,DE,Bavaria,,,AS197540
85.235.66.252,443,TRUE,HAM,DE,Bavaria,,,AS197540
89.58.2.242,8443,TRUE,FRA,DE,Bavaria,,,AS197540
89.58.8.25,443,TRUE,HAM,DE,Bavaria,,,AS197540
89.58.8.25,2087,TRUE,HAM,DE,Bavaria,,,AS197540
89.58.9.133,8443,TRUE,FRA,DE,Bavaria,,,AS197540
89.58.10.146,443,TRUE,FRA,DE,Bavaria,,,AS197540
89.58.10.146,8443,TRUE,HAM,DE,Bavaria,,,AS197540
89.58.15.226,2087,TRUE,FRA,DE,Bavaria,,,AS197540
89.58.17.201,443,TRUE,FRA,AT,State of Vienna,,,AS197540
89.58.18.68,443,TRUE,VIE,AT,State of Vienna,,,AS197540
89.58.34.218,443,TRUE,FRA,DE,Bavaria,,,AS197540
