IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
2.56.255.61,443,TRUE,LAX,US,California,,,AS40065
2.56.255.237,443,TRUE,LAX,US,California,,,AS40065
2.56.255.237,8443,TRUE,LAX,US,California,,,AS40065
5.181.219.156,443,TRUE,LAX,US,California,,,AS40065
23.224.69.114,443,TRUE,LAX,US,California,,,AS40065
23.224.69.114,8443,TRUE,LAX,US,California,,,AS40065
23.224.69.115,443,TRUE,LAX,US,California,,,AS40065
23.224.69.115,8443,TRUE,LAX,US,California,,,AS40065
23.224.69.116,443,TRUE,LAX,US,California,,,AS40065
23.224.69.116,8443,TRUE,LAX,US,California,,,AS40065
23.224.69.117,443,TRUE,LAX,US,California,,,AS40065
23.224.69.117,8443,TRUE,LAX,US,California,,,AS40065
23.224.69.118,443,TRUE,LAX,US,California,,,AS40065
23.224.69.118,8443,TRUE,LAX,US,California,,,AS40065
23.225.58.242,443,TRUE,LAX,US,California,,,AS40065
23.225.58.243,443,TRUE,LAX,US,California,,,AS40065
23.225.58.244,443,TRUE,LAX,US,California,,,AS40065
23.225.58.245,443,TRUE,LAX,US,California,,,AS40065
23.225.58.246,443,TRUE,LAX,US,California,,,AS40065
45.12.88.57,443,TRUE,LAX,US,California,,,AS40065
45.12.88.57,8443,TRUE,LAX,US,California,,,AS40065
45.12.88.129,443,TRUE,LAX,US,California,,,AS40065
45.12.88.150,443,TRUE,SJC,US,California,,,AS199959
45.12.90.230,443,TRUE,LAX,US,California,,,AS199959
45.67.223.244,443,TRUE,SJC,US,California,,,AS40065
91.110.174.169,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.173,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.190,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.198,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.201,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.202,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.204,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.205,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.210,8443,TRUE,HKG,HK,,,,AS40065
91.110.174.222,8443,TRUE,HKG,HK,,,,AS40065
91.110.231.249,8443,TRUE,HKG,HK,,,,AS40065
91.217.139.70,443,TRUE,LAX,US,California,,,AS40065
103.20.222.136,443,TRUE,HKG,HK,,,,AS40065
103.20.223.27,443,FALSE,,,,,,
103.20.223.150,443,TRUE,HKG,HK,,,,AS40065
103.94.185.32,443,TRUE,LAX,US,California,,,AS40065
103.99.115.56,443,TRUE,LAX,US,California,,,AS40065
103.99.115.139,443,TRUE,LAX,US,California,,,AS40065
103.99.178.14,443,TRUE,LAX,US,California,,,AS40065
103.103.245.105,443,TRUE,HKG,HK,,,,AS40065
103.172.134.71,8443,TRUE,HKG,HK,,,,AS40065
172.247.44.55,443,TRUE,LAX,US,California,,,AS40065
185.186.146.110,443,TRUE,SJC,US,California,,,AS40065
185.186.146.220,8443,TRUE,LAX,US,California,,,AS40065
185.186.147.191,443,TRUE,LAX,US,California,,,AS40065
185.194.148.37,443,TRUE,LAX,US,California,,,AS40065
185.201.227.105,443,TRUE,LAX,US,California,,,AS40065
185.201.227.206,443,TRUE,LAX,US,California,,,AS40065
185.238.248.159,443,TRUE,LAX,US,California,,,AS40065
193.9.44.207,443,TRUE,LAX,US,California,,,AS40065
202.91.35.43,443,TRUE,LAX,US,California,,,AS40065
202.91.35.174,443,TRUE,LAX,US,California,,,AS40065
212.103.62.64,443,TRUE,LAX,US,California,,,AS40065
212.103.62.143,443,TRUE,LAX,US,California,,,AS40065
212.103.62.165,443,TRUE,LAX,US,California,,,AS40065
