IP地址,端口号,TLS,数据中心,IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,出站IP,出站IP类型,出站IP位置,IPS类型,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
168.222.0.120,443,true,SEA,US,North America,Seattle,北美洲,美国,西雅图,🇺🇸,57 ms,2a0e:97c0:3f2::2b6,IPv6,美国,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
168.222.0.251,443,true,SLC,US,North America,Salt Lake City,北美洲,美国,盐湖城,🇺🇸,57 ms,2a0e:97c0:3f2::164,IPv6,美国,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
66.92.50.146,443,true,SEA,US,North America,Seattle,北美洲,美国,西雅图,🇺🇸,59 ms,2a0e:97c0:3f2::2ef,IPv6,美国,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
78.31.249.106,443,true,MUC,DE,Europe,Munich,欧洲,德国,慕尼黑,🇩🇪,88 ms,78.31.249.106,IPv4,德国,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
78.31.249.48,443,true,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,🇩🇪,89 ms,78.31.249.48,IPv4,德国,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
216.23.123.211,8443,true,IAD,US,North America,Dulles,北美洲,美国,杜勒斯,🇺🇸,151 ms,2604:9a00:1:119:1c00:24ff:fe00:118e,IPv6,美国,N/A,30633,"Leaseweb USA, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804084.000
216.23.82.40,8443,true,IAD,US,North America,Dulles,北美洲,美国,杜勒斯,🇺🇸,152 ms,2604:9a00:1:119:1c00:24ff:fe00:118e,IPv6,美国,N/A,30633,"Leaseweb USA, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804084.000
216.23.82.101,443,true,KIX,JP,Asia Pacific,Osaka,亚洲,日本,大阪,🇯🇵,152 ms,101.141.178.115,IPv4,日本,N/A,17511,OPTAGE Inc.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
216.23.121.107,443,true,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,🇯🇵,152 ms,2a0e:97c0:3f4:1::2e2,IPv6,日本,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
216.23.122.71,8443,true,IAD,US,North America,Dulles,北美洲,美国,杜勒斯,🇺🇸,152 ms,2604:9a00:1:119:1c00:24ff:fe00:118e,IPv6,美国,N/A,30633,"Leaseweb USA, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804084.000
216.23.122.8,443,true,NRT,JP,Asia Pacific,Tokyo,亚洲,日本,东京,🇯🇵,152 ms,216.23.122.8,IPv4,日本,N/A,205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789804083.000
