IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
45.59.184.58,8443,TRUE,LAX,US,California,,,AS906
64.186.226.19,8443,TRUE,LAX,US,California,,,AS906
64.186.226.194,443,TRUE,LAX,US,California,,,AS906
64.186.228.224,8443,TRUE,LAX,US,California,,,AS906
64.186.228.225,443,TRUE,SJC,US,California,,,AS906
64.186.229.132,443,TRUE,SJC,US,California,,,AS906
64.186.229.133,443,TRUE,DUS,US,California,,,AS906
64.186.230.63,443,TRUE,SJC,US,California,,,AS906
64.186.238.194,443,TRUE,LAX,US,California,,,AS906
64.186.240.9,8443,TRUE,LAX,US,California,,,AS906
64.186.240.12,443,TRUE,LAX,US,California,,,AS906
64.186.242.1,8443,TRUE,LAX,US,California,,,AS906
64.186.244.169,8443,TRUE,LAX,US,California,,,AS906
64.186.247.122,8443,TRUE,LAX,US,California,,,AS906
64.186.251.0,443,TRUE,DUB,US,California,,,AS906
64.186.253.39,8443,TRUE,LAX,US,California,,,AS906
64.186.254.109,8443,TRUE,LAX,US,California,,,AS906
64.186.255.143,8443,TRUE,LAX,US,California,,,AS906
69.63.192.28,443,TRUE,LAX,US,California,,,AS906
69.63.194.132,8443,TRUE,EWR,US,California,,,AS906
69.63.200.14,2087,TRUE,SLC,US,Utah,,,AS63150
69.63.211.172,8443,TRUE,LAX,US,California,,,AS906
69.63.216.24,8443,TRUE,LAX,US,California,,,AS906
69.63.218.91,2087,TRUE,SJC,US,California,,,AS906
69.63.219.251,443,TRUE,LAX,US,California,,,AS906
69.63.222.201,443,TRUE,SJC,US,California,,,AS906
136.175.179.113,8443,TRUE,LAX,US,California,,,AS906
154.3.32.164,8443,TRUE,HKG,HK,,,,AS906
154.3.35.193,2083,TRUE,HKG,HK,,,,AS906
154.17.3.200,2053,TRUE,LAX,US,California,,,AS906
154.17.4.226,8443,TRUE,LAX,US,California,,,AS906
154.17.5.227,8443,TRUE,LAX,US,California,,,AS906
154.17.11.190,8443,TRUE,LAX,US,California,,,AS906
154.17.15.114,8443,TRUE,DUB,US,California,,,AS906
154.17.16.219,8443,TRUE,LAX,US,California,,,AS906
