IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
23.92.25.102,443,TRUE,SJC,US,California,,,AS63949
23.239.3.247,443,TRUE,SJC,US,California,,,AS63949
23.239.20.75,443,TRUE,SJC,US,California,,,AS63949
23.239.21.193,443,TRUE,SJC,US,California,,,AS63949
45.33.13.72,443,TRUE,DFW,US,Texas,,,AS63949
45.33.22.33,443,TRUE,DFW,US,Texas,,,AS63949
45.33.22.33,8443,FALSE,,,,,,
45.33.33.47,8443,TRUE,SJC,US,California,,,AS63949
45.33.41.226,443,TRUE,SJC,US,California,,,AS63949
45.33.60.43,443,TRUE,SJC,US,California,,,AS63949
45.33.63.28,443,TRUE,SJC,US,California,,,AS63949
45.33.63.220,443,TRUE,SJC,US,California,,,AS63949
45.33.89.174,443,FALSE,,,,,,
45.33.107.24,443,TRUE,SJC,US,California,,,AS63949
45.33.110.30,443,TRUE,SJC,US,California,,,AS63949
45.56.84.124,443,TRUE,SJC,US,California,,,AS63949
45.56.88.192,443,TRUE,SJC,US,California,,,AS63949
45.56.94.149,443,TRUE,SJC,US,California,,,AS63949
45.56.118.247,443,TRUE,ATL,US,Georgia,,,AS63949
45.56.126.18,443,FALSE,,,,,,
45.79.22.8,443,TRUE,DFW,US,Texas,,,AS63949
45.79.73.59,443,TRUE,SJC,US,California,,,AS63949
45.79.73.91,443,TRUE,SJC,US,California,,,AS63949
45.79.73.102,443,TRUE,SJC,US,California,,,AS63949
45.79.73.185,443,TRUE,SJC,US,California,,,AS63949
45.79.73.199,443,TRUE,SJC,US,California,,,AS63949
45.79.84.212,443,TRUE,SJC,US,California,,,AS63949
45.79.96.108,443,TRUE,SJC,US,California,,,AS63949
45.79.125.226,443,TRUE,BOM,IN,Maharashtra,,,AS63949
45.79.131.234,443,FALSE,,,,,,
45.79.168.108,443,TRUE,EWR,US,New Jersey,,,AS63949
45.79.185.101,8443,TRUE,EWR,US,New Jersey,,,AS63949
45.79.201.128,443,TRUE,ATL,US,Georgia,,,AS63949
45.79.202.151,443,FALSE,,,,,,
45.79.227.48,443,TRUE,SJC,US,California,,,AS63949
45.79.237.62,443,TRUE,SYD,AU,New South Wales,,,AS63949
50.116.36.146,443,TRUE,ATL,US,Georgia,,,AS63949
50.116.36.233,443,FALSE,,,,,,
66.228.36.39,443,TRUE,EWR,US,New Jersey,,,AS63949
66.228.45.129,443,TRUE,EWR,US,New Jersey,,,AS63949
66.228.55.235,443,TRUE,DFW,US,Texas,,,AS63949
66.228.62.129,443,FALSE,,,,,,
74.207.241.10,443,TRUE,SJC,US,California,,,AS63949
74.207.242.149,443,TRUE,SJC,US,California,,,AS63949
74.207.243.49,443,TRUE,SJC,US,California,,,AS63949
85.90.244.109,443,TRUE,FRA,DE,Hesse,,,AS63949
88.80.186.197,443,TRUE,LHR,GB,England,,,AS63949
96.126.97.68,443,TRUE,SJC,US,California,,,AS63949
96.126.113.17,443,TRUE,DFW,US,Texas,,,AS63949
97.107.136.48,443,TRUE,EWR,US,New Jersey,,,AS63949
