IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
168.138.6.212,443,FALSE,,,,,,
168.138.11.91,443,FALSE,,,,,,
168.138.12.45,8443,FALSE,,,,,,
168.138.15.48,443,FALSE,,,,,,
168.138.22.243,443,TRUE,MEL,AU,Victoria,,,AS13335
168.138.29.110,443,TRUE,MEL,AU,Victoria,,,AS31898
168.138.29.126,443,FALSE,,,,,,
168.138.43.188,8443,TRUE,KIX,JP,Osaka,,,AS31898
168.138.46.67,443,TRUE,KIX,JP,Osaka,,,AS31898
168.138.52.221,443,TRUE,KIX,JP,Osaka,,,AS31898
168.138.75.159,443,FALSE,,,,,,
168.138.79.232,443,FALSE,,,,,,
168.138.102.16,443,FALSE,,,,,,
168.138.110.138,443,TRUE,SYD,AU,New South Wales,,,AS31898
168.138.164.227,443,FALSE,,,,,,
168.138.165.174,443,TRUE,SIN,SG,,,,AS31898
168.138.169.93,443,TRUE,SIN,SG,,,,AS31898
168.138.176.180,443,TRUE,SIN,SG,,,,AS13335
168.138.177.32,443,TRUE,SIN,SG,,,,AS31898
168.138.184.11,443,TRUE,SIN,SG,,,,AS31898
168.138.186.56,443,TRUE,SIN,SG,,,,AS31898
168.138.189.82,443,TRUE,SIN,SG,,,,AS31898
168.138.189.91,443,TRUE,SIN,SG,,,,AS31898
168.138.193.193,443,TRUE,NRT,JP,Tokyo,,,AS31898
168.138.196.206,8443,TRUE,NRT,JP,Tokyo,,,AS31898
168.138.199.85,2053,TRUE,NRT,JP,Tokyo,,,AS31898
168.138.218.160,8443,TRUE,NRT,JP,Tokyo,,,AS31898
168.138.221.12,443,TRUE,NRT,JP,Tokyo,,,AS31898
168.138.252.25,443,FALSE,,,,,,
