IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
45.8.173.13,443,TRUE,NRT,JP,Tokyo,,,AS51847
45.8.173.33,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.40,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.99,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.106,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.134,443,TRUE,NRT,JP,Tokyo,,,AS51847
45.8.173.136,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.143,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.144,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.197,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.204,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.215,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.215,8443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.217,443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.217,8443,TRUE,NRT,JP,Tokyo,,,AS197196
45.8.173.250,443,TRUE,NRT,JP,Tokyo,,,AS197196
144.225.255.19,443,TRUE,LAX,US,California,,,AS197196
144.225.255.22,443,TRUE,LAX,US,California,,,AS197196
144.225.255.99,443,TRUE,LAX,US,California,,,AS197196
144.225.255.105,443,TRUE,SJC,US,California,,,AS18779
144.225.255.169,443,TRUE,LAX,US,California,,,AS197196
144.225.255.169,8443,TRUE,LAX,US,California,,,AS197196
148.135.183.33,443,TRUE,NRT,JP,Tokyo,,,AS197196
195.58.144.24,443,TRUE,HKG,HK,,,,AS197196
195.58.144.132,443,TRUE,HKG,HK,,,,AS197196
195.58.144.166,443,TRUE,HKG,HK,,,,AS197196
195.58.144.166,8443,TRUE,HKG,HK,,,,AS197196
195.58.144.220,443,TRUE,HKG,HK,,,,AS197196
195.58.144.220,2087,TRUE,HKG,HK,,,,AS197196
216.235.248.57,443,TRUE,HKG,HK,,,,AS197196
