IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
40.233.6.124,443,FALSE,,,,,,
40.233.21.251,443,FALSE,,,,,,
40.233.64.132,443,FALSE,,,,,,
40.233.66.4,443,FALSE,,,,,,
40.233.68.138,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.70.120,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.71.238,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.77.25,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.77.137,443,FALSE,,,,,,
40.233.77.216,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.78.30,443,FALSE,,,,,,
40.233.80.65,443,FALSE,,,,,,
40.233.87.120,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.92.188,443,FALSE,,,,,,
40.233.96.121,443,FALSE,,,,,,
40.233.99.229,443,FALSE,,,,,,
40.233.99.248,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.102.142,443,FALSE,,,,,,
40.233.103.212,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.106.255,443,FALSE,,,,,,
40.233.110.251,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.113.158,443,FALSE,,,,,,
40.233.116.225,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.117.135,443,TRUE,YYZ,CA,Ontario,,,AS31898
40.233.118.104,443,FALSE,,,,,,
40.233.121.120,443,FALSE,,,,,,
51.170.85.31,8443,TRUE,DXB,AE,Abu Dhabi,,,AS31898
64.110.64.228,8443,TRUE,ICN,KR,Seoul,,,AS31898
64.110.70.64,443,TRUE,ICN,KR,Seoul,,,AS31898
64.110.79.66,8443,TRUE,ICN,KR,Seoul,,,AS31898
64.110.97.200,443,TRUE,KIX,JP,Osaka,,,AS13335
64.110.100.50,8443,TRUE,KIX,JP,Osaka,,,AS31898
64.110.104.119,443,TRUE,KIX,JP,Osaka,,,AS31898
64.110.111.118,8443,TRUE,KIX,JP,Osaka,,,AS31898
64.181.163.154,443,FALSE,,,,,,
64.181.169.234,443,FALSE,,,,,,
64.181.182.219,443,FALSE,,,,,,
64.181.188.99,443,TRUE,GRU,BR,São Paulo,,,AS31898
64.181.193.165,443,FALSE,,,,,,
64.181.197.184,443,FALSE,,,,,,
64.181.200.54,443,FALSE,,,,,,
64.181.202.42,443,FALSE,,,,,,
64.181.203.26,443,FALSE,,,,,,
64.181.206.117,443,FALSE,,,,,,
64.181.206.187,443,FALSE,,,,,,
64.181.207.78,443,FALSE,,,,,,
64.181.208.104,443,FALSE,,,,,,
64.181.209.76,443,FALSE,,,,,,
64.181.210.154,443,FALSE,,,,,,
64.181.211.225,443,FALSE,,,,,,
64.181.212.125,443,FALSE,,,,,,
64.181.218.67,443,TRUE,ORD,US,Illinois,,,AS31898
64.181.218.128,443,FALSE,,,,,,
64.181.220.4,443,FALSE,,,,,,
64.181.221.22,443,FALSE,,,,,,
64.181.221.170,443,FALSE,,,,,,
64.181.223.142,443,FALSE,,,,,,
64.181.224.242,443,FALSE,,,,,,
64.181.226.166,443,FALSE,,,,,,
64.181.226.205,443,FALSE,,,,,,
64.181.227.82,443,TRUE,SJC,US,California,,,AS31898
64.181.230.8,443,TRUE,SJC,US,California,,,AS31898
64.181.238.235,443,FALSE,,,,,,
64.181.240.21,443,FALSE,,,,,,
64.181.242.130,443,FALSE,,,,,,
64.181.242.184,443,TRUE,SJC,US,California,,,AS31898
64.181.247.243,443,TRUE,SJC,US,California,,,AS31898
64.181.251.32,443,TRUE,SJC,US,California,,,AS31898
64.181.252.230,443,FALSE,,,,,,
64.181.253.9,443,FALSE,,,,,,
64.181.253.125,443,FALSE,,,,,,
64.181.255.215,443,TRUE,SJC,US,California,,,AS31898
68.233.104.133,443,FALSE,,,,,,
68.233.107.29,443,TRUE,MAA,IN,Telangana,,,AS31898
68.233.122.42,443,TRUE,YUL,CA,Quebec,,,AS31898
68.233.126.239,443,FALSE,,,,,,
68.233.127.74,443,FALSE,,,,,,
79.72.16.85,443,FALSE,,,,,,
79.72.24.148,443,FALSE,,,,,,
79.72.28.147,443,FALSE,,,,,,
