IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
38.47.198.28,443,TRUE,NRT,JP,Tokyo,,,AS137535
38.181.52.16,443,TRUE,SIN,SG,,,,AS137535
142.248.137.22,443,TRUE,NRT,JP,Tokyo,,,AS137535
142.248.137.32,443,TRUE,NRT,JP,Tokyo,,,AS137535
142.248.139.25,443,TRUE,NRT,JP,Tokyo,,,AS137535
142.248.139.188,443,TRUE,NRT,JP,Tokyo,,,AS137535
142.248.139.237,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.2.185.217,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.2.187.28,443,TRUE,NRT,JP,Tokyo,,,AS13335
177.3.89.69,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.3.89.211,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.3.90.10,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.3.90.144,443,TRUE,NRT,JP,Tokyo,,,AS137535
177.3.91.127,8443,TRUE,NRT,JP,Tokyo,,,AS137535
177.5.78.92,443,TRUE,HKG,SG,,,,AS140227
