IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
59.106.190.128,443,TRUE,NRT,JP,Tokyo,,,AS9370
153.121.32.71,443,TRUE,NRT,JP,Tokyo,,,AS9370
153.121.45.101,443,TRUE,NRT,JP,Tokyo,,,AS9370
153.121.51.228,443,TRUE,NRT,JP,Tokyo,,,AS9370
153.121.76.150,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.54.132,443,FALSE,,,,,,
160.16.57.18,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.59.9,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.62.84,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.62.225,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.103.102,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.109.149,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.120.16,443,TRUE,NRT,JP,Chiba,,,AS9370
160.16.209.61,443,TRUE,NRT,JP,Tokyo,,,AS9370
160.16.234.219,443,TRUE,NRT,JP,Tokyo,,,AS9370
