IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
23.147.232.33,443,TRUE,NRT,JP,Kyoto,,,AS46829
23.147.232.165,443,TRUE,NRT,JP,Tokyo,,,AS46829
23.147.232.171,8443,TRUE,NRT,JP,Tokyo,,,AS46829
23.147.232.216,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.95,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.100,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.108,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.118,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.124,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.125,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.144,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.163,443,TRUE,NRT,JP,Tokyo,,,AS46829
82.108.155.248,443,TRUE,NRT,JP,Tokyo,,,AS46829
137.175.44.124,443,TRUE,DFW,US,Arizona,,,AS46829
208.75.132.79,443,TRUE,TPE,TW,Taiwan,,,AS46829
208.75.133.8,443,TRUE,HKG,HK,,,,AS46829
208.75.133.153,443,TRUE,HKG,HK,,,,AS46829
208.75.133.158,443,TRUE,HKG,HK,,,,AS46829
